,ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK,STATION_NUM,NEAREST_CEM_DIST,MEAN_PRICE,DIFFERENCE
10,177A Shaftesbury Avenue,Bedford,655000,4,2,2.0,531,198,,5800,Maylands Station,2300,2018-01-01,6052,-31.90731,115.88913,JOHN FORREST SECONDARY COLLEGE,1.1642872512278022,74.0,15.0,5369.884097545106,700941.9873096447,-45941.9873096447
11,6 Rosedale Vista,Hocking,528000,4,2,3.0,553,164,2002.0,20100,Edgewater Station,3800,2018-01-01,6065,-31.77506,115.81851,ALTA-1,1.2478094342978183,200.0,10.0,4901.495182907002,700941.9873096447,-172941.9873096447
12,9 Roydon Way,Girrawheen,360000,3,1,,692,120,1973.0,12100,Warwick Station,4400,2018-01-01,6064,-31.84419,115.8433,EMMANUEL CHRISTIAN COMMUNITY SCHOOL,0.5196439688397438,200.0,15.0,7921.700089600826,700941.9873096447,-340941.9873096447
13,17 Brut Lane,The Vines,575000,4,2,2.0,677,230,1998.0,26200,Midland Station,15600,2018-01-01,6069,-31.75115,116.00345,HOLY CROSS COLLEGE,3.715518929508271,98.0,6.0,15674.524480427928,700941.9873096447,-125941.9873096447
14,36 Kintail Road,Applecross,2300000,4,3,2.0,1026,141,1960.0,6600,Canning Bridge Station,994,2018-01-01,6153,-32.01041151,115.8456492,AQUINAS COLLEGE,2.3197375703710734,23.0,10.0,6429.530267584416,700941.9873096447,1599058.0126903553
15,103 Harpenden Street,Huntingdale,395000,4,2,4.0,527,151,1997.0,17300,Thornlie Station,3800,2018-01-01,6110,-32.08094,115.96134,THORNLIE SENIOR HIGH SCHOOL,1.638892081417484,125.0,13.0,15859.383087047108,700941.9873096447,-305941.9873096447
16,62 Carlton Turn,Currambine,440000,4,2,6.0,640,120,2000.0,26500,Currambine Station,799,2018-01-01,6028,-31.73184,115.75266,LAKE JOONDALUP BAPTIST COLLEGE,1.0390812643934038,80.0,4.0,8018.74937050645,700941.9873096447,-260941.9873096447
17,13 Bynder Lane,Medina,275000,3,2,2.0,230,111,2015.0,31800,Kwinana Station,3400,2018-01-01,6167,-32.23409721,115.8066384,GILMORE COLLEGE,0.8972652859470506,138.0,14.0,8315.04102067057,700941.9873096447,-425941.9873096447
18,24A Waterside Crescent,Gwelup,549000,3,2,1.0,253,117,1996.0,10200,Stirling Station,2000,2018-01-01,6018,-31.87743057,115.7974449,BALCATTA SENIOR HIGH SCHOOL,1.4138607277346231,135.0,6.0,8721.398943571363,700941.9873096447,-151941.9873096447
19,28 McCallum Crescent,Ardross,875000,3,2,2.0,466,160,,9000,Bull Creek Station,2900,2018-01-01,6153,-32.0293388,115.8311766,APPLECROSS SENIOR HIGH SCHOOL,0.3690491253875936,34.0,6.0,7593.243776334908,700941.9873096447,174058.0126903553
20,29 Towie Street,Cloverdale,320000,3,1,,701,91,1965.0,8900,Burswood Station,4900,2018-01-01,6105,-31.96114,115.95207,BELMONT CITY COLLEGE,1.6829489099213124,57.0,7.0,6888.405440311364,700941.9873096447,-380941.9873096447
21,36 Norwood Loop,Tapping,361000,4,2,2.0,630,143,2000.0,27200,Currambine Station,3500,2018-01-01,6065,-31.71579,115.7862,JOSEPH BANKS SECONDARY COLLEGE,2.142730717121849,92.0,16.0,9520.759659359825,700941.9873096447,-339941.9873096447
22,36 Olivedale Road,Madeley,540000,4,2,2.0,432,188,2008.0,16600,Whitfords Station,4500,2018-01-01,6065,-31.805679,115.829275,KINGSWAY CHRISTIAN COLLEGE,1.0096668736896364,50.0,14.0,5004.635492173981,700941.9873096447,-160941.9873096447
23,24A Sonego Avenue,Kelmscott,415000,4,2,2.0,793,251,2013.0,24600,Challis Station,417,2018-01-01,6111,-32.12836885,116.0162923,SOWILO COMMUNITY HIGH SCHOOL,0.6790496740279083,75.0,10.0,23071.304014715115,700941.9873096447,-285941.9873096447
24,36 Peridot Turn,Banksia Grove,410000,3,2,2.0,578,158,2000.0,27900,Currambine Station,6000,2018-01-01,6031,-31.70508,115.80934,JOSEPH BANKS SECONDARY COLLEGE,1.401172057156331,92.0,7.0,11108.342261060336,700941.9873096447,-290941.9873096447
25,31 Elm Street,Hamersley,556000,3,2,2.0,710,145,1977.0,12100,Warwick Station,1800,2018-01-01,6022,-31.85005,115.81459,WARWICK SENIOR HIGH SCHOOL,1.2676824532752784,138.0,13.0,6527.057131935828,700941.9873096447,-144941.9873096447
26,5 Pricklybark Street,Harrisdale,530000,4,2,2.0,443,229,2012.0,18300,Thornlie Station,6700,2018-01-01,6112,-32.10465748,115.932035,PROVIDENCE CHRISTIAN COLLEGE,0.7008220499990664,38.0,4.0,17215.16172491867,700941.9873096447,-170941.9873096447
27,102 Vines Avenue,The Vines,770000,4,2,4.0,4000,283,1993.0,24800,Midland Station,14200,2018-01-01,6069,-31.76425,116.0001,HOLY CROSS COLLEGE,2.671860108142521,98.0,6.0,14245.37372973595,700941.9873096447,69058.0126903553
28,31 Duke Street,East Fremantle,1060000,3,2,3.0,502,180,1920.0,13600,North Fremantle Station,1900,2018-01-01,6158,-32.04357324,115.763,JOHN CURTIN COLLEGE OF THE ARTS,0.8513871261822887,25.0,14.0,1178.8753562192808,700941.9873096447,359058.0126903553
29,32 Solquest Way,Cooloongup,320000,5,3,1.0,683,140,1987.0,39400,Rockingham Station,647,2018-01-01,6168,-32.29583,115.75969,KOLBE CATHOLIC COLLEGE,1.843794163929815,97.0,13.0,3035.4414374057587,700941.9873096447,-380941.9873096447
30,5 Sherlock Rise,Carramar,470000,4,2,2.0,604,226,,27900,Currambine Station,3100,2018-01-01,6031,-31.7106,115.77886,JOSEPH BANKS SECONDARY COLLEGE,2.138925986701198,92.0,10.0,10056.770749575804,700941.9873096447,-230941.9873096447
31,24 Kareela Meander,Tapping,469000,4,2,2.0,586,218,2006.0,27100,Currambine Station,5000,2018-01-01,6065,-31.71344,115.80229,JOSEPH BANKS SECONDARY COLLEGE,1.7286785222095506,92.0,6.0,10037.029240806092,700941.9873096447,-231941.9873096447
32,18 Chartwell Bend,Hocking,550000,4,2,2.0,585,190,2002.0,20300,Edgewater Station,3700,2018-01-01,6065,-31.77358,115.81737,ALTA-1,1.3665398930450874,200.0,10.0,4915.297755589797,700941.9873096447,-150941.9873096447
33,29 Cascade Close,Safety Bay,385000,3,1,1.0,789,111,1988.0,40800,Rockingham Station,3900,2018-01-01,6169,-32.29946,115.7216,SAFETY BAY SENIOR HIGH SCHOOL,1.8696328312544988,136.0,12.0,2694.950800815276,700941.9873096447,-315941.9873096447
34,37 Excalibur Chase,Wattle Grove,555000,4,2,2.0,601,176,,13800,Madding,5300,2018-01-01,6107,-32.0019,115.99277,HERITAGE COLLEGE PERTH,3.3507885610581893,92.0,9.0,11570.99889548376,700941.9873096447,-145941.9873096447
35,2 Welara Circle,Henley Brook,395000,4,2,2.0,639,211,2001.0,20400,East Guildford Station,11200,2018-01-01,6055,-31.79595,115.97206,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.2785480858693603,53.0,7.0,11359.169105343162,700941.9873096447,-305941.9873096447
36,5 Wolya Way,Westminster,475000,3,1,,632,152,1970.0,9100,Stirling Station,3800,2018-01-01,6061,-31.87299199,115.8361466,DIANELLA SECONDARY COLLEGE,1.8633147954322584,143.0,15.0,8872.403821905025,700941.9873096447,-225941.9873096447
37,52 The Circle,Warwick,590000,3,2,2.0,602,168,2000.0,13300,Warwick Station,1500,2018-01-01,6024,-31.83986,115.81132,WARWICK SENIOR HIGH SCHOOL,0.410035199603784,138.0,17.0,5423.195314565517,700941.9873096447,-110941.9873096447
38,18 Coci Road,Balcatta,694000,3,2,2.0,305,187,2009.0,8000,Stirling Station,2200,2018-01-01,6021,-31.88644557,115.8258748,BALCATTA SENIOR HIGH SCHOOL,1.7706911620888692,135.0,14.0,7815.735398277161,700941.9873096447,-6941.987309644697
39,74 Vines Avenue,The Vines,992000,4,2,4.0,4688,324,,24700,Midland Station,14000,2018-01-01,6069,-31.76608,116.0005,HOLY CROSS COLLEGE,2.639865557140652,98.0,9.0,14039.349967626278,700941.9873096447,291058.0126903553
40,18 Duncannon Rise,Mindarie,900000,7,4,4.0,876,431,2000.0,33600,Clarkson Station,3600,2018-01-01,6030,-31.68184,115.70156,MINDARIE SENIOR COLLEGE,0.6876913081336656,111.0,3.0,15032.704711082566,700941.9873096447,199058.0126903553
41,6/11 Westbrook Way,Girrawheen,250000,3,1,,431,87,1971.0,12400,Warwick Station,4600,2018-01-01,6064,-31.84182,115.84484,EMMANUEL CHRISTIAN COMMUNITY SCHOOL,0.5851284181818954,200.0,12.0,7883.459333619618,700941.9873096447,-450941.9873096447
42,6/623 Hay Street,Jolimont,370000,2,1,1.0,2022,71,1980.0,4400,Daglish Station,448,2018-01-01,6014,-31.94805,115.81257,SHENTON COLLEGE,1.5790812595355916,14.0,17.0,2258.0683927343257,700941.9873096447,-330941.9873096447
43,749 Campersic Road,Brigadoon,1195000,4,2,2.0,34109,250,1990.0,25900,Midland Station,12500,2018-01-01,6069,-31.78708,116.05351,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,6.484981543469311,53.0,0.0,12249.156205677264,700941.9873096447,494058.0126903553
44,37 Rockefeller Way,Harrisdale,491000,4,2,2.0,429,155,2013.0,21100,Cockburn Central Station,6600,2018-01-01,6112,-32.13313445,115.9272748,CAREY BAPTIST COLLEGE,2.5195990414332763,62.0,4.0,18571.38437050782,700941.9873096447,-209941.9873096447
45,3 First Street,Bicton,995000,4,2,2.0,457,227,2003.0,11000,North Fremantle Station,3200,2018-01-01,6157,-32.02912019,115.7855669,SANTA MARIA COLLEGE,1.516932029576282,10.0,14.0,3821.421550016434,700941.9873096447,294058.0126903553
46,6 Woburn Street,Darch,620000,4,2,2.0,627,245,2007.0,15400,Greenwood Station,5600,2018-01-01,6065,-31.81481638,115.8422063,ASHDALE SECONDARY COLLEGE,0.3615299449278661,75.0,20.0,6386.408631386019,700941.9873096447,-80941.9873096447
47,3 Fleur Road,Greenmount,535000,3,2,1.0,804,296,1987.0,19000,Midland Station,4600,2018-01-01,6056,-31.89617,116.04887,SWAN VIEW SENIOR HIGH SCHOOL,1.0572938721779293,149.0,10.0,3376.009173588962,700941.9873096447,-165941.9873096447
48,11 Smith Street,Glen Forrest,450000,4,2,2.0,1996,188,1968.0,22800,Midland Station,9500,2018-01-01,6071,-31.91575,116.0969,HELENA COLLEGE,1.055452011205339,78.0,10.0,8311.393498726962,700941.9873096447,-250941.9873096447
49,10 Strand Close,Atwell,550000,4,2,2.0,641,199,1998.0,21100,Cockburn Central Station,2100,2018-01-01,6164,-32.14131,115.87028,ATWELL COLLEGE,0.6483783506076904,129.0,6.0,14724.570575507309,700941.9873096447,-150941.9873096447
50,166 Empire Avenue,Wembley Downs,1070000,5,3,2.0,716,193,1978.0,8100,Glendalough Station,4100,2018-01-01,6019,-31.92178,115.78047,NEWMAN COLLEGE,0.6688150580187368,44.0,7.0,5243.449833649929,700941.9873096447,369058.0126903553
51,10 Stedman Parkway,Leeming,695000,4,2,2.0,750,198,1988.0,13800,Murdoch Station,1100,2018-01-01,6149,-32.07586,115.85295,LEEMING SENIOR HIGH SCHOOL,0.358837012894642,89.0,16.0,9601.641987791034,700941.9873096447,-5941.987309644697
52,76 Duke Street,East Fremantle,1000000,3,2,2.0,509,191,1920.0,13800,Fremantle Station,1900,2018-01-01,6158,-32.04608,115.76365,JOHN CURTIN COLLEGE OF THE ARTS,0.7555241326340443,25.0,12.0,1026.2063859980658,700941.9873096447,299058.0126903553
53,147 Landsdale Road,Darch,509888,4,2,2.0,490,188,2010.0,14900,Greenwood Station,6500,2018-01-01,6065,-31.81791715,115.852549,ASHDALE SECONDARY COLLEGE,1.2576787706992174,75.0,3.0,7418.508241320384,700941.9873096447,-191053.9873096447
54,15 Willow Road,Warwick,680000,4,2,2.0,806,219,1980.0,13200,Warwick Station,670,2018-01-01,6024,-31.84332,115.80301,WARWICK SENIOR HIGH SCHOOL,1.2821889273940172,138.0,13.0,5324.193831763228,700941.9873096447,-20941.987309644697
55,24 Clearwater Way,Singleton,415000,4,2,2.0,569,203,2006.0,54800,Mandurah Station,10100,2018-01-01,6175,-32.436962,115.759271,COMET BAY COLLEGE,2.3791630316254,35.0,6.0,17809.81498751339,700941.9873096447,-285941.9873096447
56,5 Seton Lane,Kinross,465000,3,2,2.0,621,160,1999.0,29000,Currambine Station,2200,2018-01-01,6028,-31.7158,115.73011,YOUTH FUTURES COMMUNITY SCHOOL,2.9138820868009194,200.0,13.0,10446.06602638688,700941.9873096447,-235941.9873096447
57,9 Porcelli Close,South Fremantle,1100000,3,2,2.0,250,219,2010.0,16500,Fremantle Station,2600,2018-01-01,6162,-32.07286,115.75651,FREMANTLE COLLEGE,1.21324092774316,128.0,13.0,2346.652070234441,700941.9873096447,399058.0126903553
58,24 Milroy Street,Willagee,525000,3,2,2.0,384,142,2002.0,12500,Fremantle Station,5200,2018-01-01,6156,-32.05354,115.80068,MELVILLE SENIOR HIGH SCHOOL,0.9217866244711356,61.0,11.0,4300.442992057524,700941.9873096447,-175941.9873096447
59,28 Simmonds Parade,Winthrop,993000,4,2,2.0,700,215,1986.0,10900,Bull Creek Station,2200,2018-01-01,6150,-32.04736,115.83056,CORPUS CHRISTI COLLEGE,1.582219335437469,28.0,11.0,7129.341446254696,700941.9873096447,292058.0126903553
60,36 Salisbury Street,St James,617500,3,2,3.0,583,180,1954.0,7300,Welshpool Station,1100,2018-01-01,6102,-31.99913,115.91285,CANNING COLLEGE,1.8744902984170944,200.0,12.0,5706.661562966979,700941.9873096447,-83441.9873096447
61,28 Tenement Loop,Hocking,450000,4,2,2.0,565,172,2001.0,20300,Edgewater Station,3200,2018-01-01,6065,-31.77378,115.81253,ALTA-1,1.2914579085527778,200.0,8.0,4550.669431458893,700941.9873096447,-250941.9873096447
62,7/70 Frederick Street,Shoalwater,145000,1,1,1.0,196,39,1970.0,40700,Rockingham Station,4700,2018-01-01,6169,-32.29617,115.71232,ROCKINGHAM SENIOR HIGH SCHOOL,2.513143328904079,147.0,9.0,2939.4184847923866,700941.9873096447,-555941.9873096447
63,36 Trott Road,Lesmurdie,745000,4,2,2.0,1223,265,2000.0,19900,Madding,9600,2018-01-01,6076,-31.99637,116.06243,ST BRIGID'S COLLEGE,0.9780463540193784,99.0,14.0,12505.76848796905,700941.9873096447,44058.0126903553
64,52 Kilchurn Promenade,Darch,615000,4,2,2.0,601,218,2005.0,15100,Greenwood Station,6100,2018-01-01,6065,-31.81372175,115.8473583,ASHDALE SECONDARY COLLEGE,0.6013556566146245,75.0,12.0,6833.850919604713,700941.9873096447,-85941.9873096447
65,6 Dundee Close,Warnbro,325000,4,2,2.0,728,137,1991.0,43200,Warnbro Station,702,2018-01-01,6169,-32.33125,115.76298,LIVING WATERS LUTHERAN COLLEGE,1.542161680664532,51.0,17.0,6463.628283012565,700941.9873096447,-375941.9873096447
66,96 Sunbury Road,Victoria Park,740000,3,2,2.0,218,180,2007.0,5100,Vic,588,2018-01-01,6100,-31.976262,115.90497,ST CLARE'S SCHOOL,0.665959123422824,200.0,8.0,3276.751526743941,700941.9873096447,39058.0126903553
67,70 Lakelands Drive,Gnangara,1075000,6,4,4.0,10480,310,1990.0,18700,Whitfords Station,6900,2018-01-01,6077,-31.78384,115.85346,LANDSDALE CHRISTIAN SCHOOL,2.8630355252345123,200.0,0.0,7511.181329369566,700941.9873096447,374058.0126903553
68,11 Outlook Drive,Edgewater,535000,6,2,2.0,720,202,1982.0,22200,Edgewater Station,973,2018-01-01,6027,-31.76375,115.78174,MATER DEI COLLEGE,0.503997192181275,104.0,12.0,4172.866834439628,700941.9873096447,-165941.9873096447
69,2 Grassbird Parade,Gwelup,1230000,5,3,3.0,558,300,2006.0,11500,Warwick Station,2300,2018-01-01,6018,-31.865214,115.791908,CARINE SENIOR HIGH SCHOOL,2.036786629359168,47.0,8.0,7282.809757830846,700941.9873096447,529058.0126903553
70,2 Vista Close,Edgewater,430500,4,2,3.0,161,132,1976.0,21500,Edgewater Station,1200,2018-01-01,6027,-31.76797767,115.7899069,MATER DEI COLLEGE,1.3187104507281373,104.0,14.0,3883.693637769436,700941.9873096447,-270441.9873096447
71,47 Camfield Loop,Parmelia,240000,3,1,1.0,683,85,1985.0,32800,Kwinana Station,1800,2018-01-01,6167,-32.24599,115.82843,THE KING'S COLLEGE,1.3701302943308729,200.0,14.0,9470.583970823667,700941.9873096447,-460941.9873096447
72,11 Petworth Drive,The Vines,620000,5,2,3.0,700,273,2007.0,27100,Midland Station,16000,2018-01-01,6069,-31.7485308,116.0158577,HOLY CROSS COLLEGE,4.823205369697819,98.0,5.0,15938.728200681307,700941.9873096447,-80941.9873096447
73,15 Challenger Avenue,Manning,975000,5,2,2.0,800,170,,7000,Canning Bridge Station,1700,2018-01-01,6152,-32.01392,115.87362,COMO SECONDARY COLLEGE,1.164180844263486,87.0,18.0,6413.348009840815,700941.9873096447,274058.0126903553
74,16A Petterson Avenue,Kardinya,470000,3,1,2.0,500,130,1981.0,14100,Murdoch Station,4400,2018-01-01,6163,-32.07001091,115.803643,SETON CATHOLIC COLLEGE,1.0132072109970731,91.0,17.0,5003.437799273057,700941.9873096447,-230941.9873096447
75,112 Elliot Road,Hocking,527500,5,2,2.0,547,224,2006.0,21300,Edgewater Station,4100,2018-01-01,6065,-31.76346665,115.8209771,WANNEROO SECONDARY COLLEGE,0.8318973452831757,131.0,6.0,5918.906637663542,700941.9873096447,-173441.9873096447
76,16a Instone Street,Hilton,572500,4,2,2.0,582,172,2003.0,15300,Fremantle Station,4300,2018-01-01,6163,-32.07388408,115.7833248,SETON CATHOLIC COLLEGE,0.956042303098232,91.0,21.0,3621.0162155071857,700941.9873096447,-128441.9873096447
77,1A Alford Street,Balcatta,452000,3,2,2.0,791,93,2008.0,8300,Stirling Station,2400,2018-01-01,6021,-31.88268334,115.826745,BALCATTA SENIOR HIGH SCHOOL,1.5847980390873602,135.0,6.0,8160.64883131286,700941.9873096447,-248941.9873096447
78,12 Quindalup Court,Hillman,312500,3,2,1.0,699,125,1984.0,38200,Rockingham Station,559,2018-01-01,6168,-32.28537,115.76304,KOLBE CATHOLIC COLLEGE,1.0427262386123568,97.0,24.0,2744.6791535034804,700941.9873096447,-388441.9873096447
79,24 Ruislip Street,West Leederville,2270000,4,2,2.0,733,329,1914.0,3100,West Leederville Station,712,2018-01-01,6007,-31.93646,115.83155,PERTH MODERN SCHOOL,1.0609084071123118,1.0,7.0,3223.219840463268,700941.9873096447,1569058.0126903553
80,37 Adenandra Way,Greenwood,650000,5,3,4.0,700,241,1980.0,15300,Greenwood Station,2400,2018-01-01,6024,-31.82194,115.80786,THE MONTESSORI SCHOOL,1.0735490715571026,200.0,14.0,3759.640060925661,700941.9873096447,-50941.9873096447
81,46 Underwood Grove,Kardinya,925000,4,2,2.0,700,238,1986.0,12600,Murdoch Station,3800,2018-01-01,6163,-32.05767,115.81134,MELVILLE SENIOR HIGH SCHOOL,1.3796419590372817,61.0,16.0,5340.73604852539,700941.9873096447,224058.0126903553
82,112 Iolanthe Street,Eden Hill,480000,4,1,8.0,670,195,1984.0,10300,Bassendean Station,1300,2018-01-01,6054,-31.89249,115.94181,HAMPTON SENIOR HIGH SCHOOL,1.4169485013387435,117.0,6.0,2928.222394941317,700941.9873096447,-220941.9873096447
83,60 Samson Street,Mosman Park,1475000,5,2,2.0,759,253,1999.0,10900,Vic,1700,2018-01-01,6012,-32.01641,115.77261,IONA PRESENTATION COLLEGE,0.9901316932848482,17.0,8.0,4266.453054545564,700941.9873096447,774058.0126903553
84,12 Hedges Retreat,Atwell,480000,4,2,2.0,619,125,1999.0,21200,Cockburn Central Station,2100,2018-01-01,6164,-32.14265,115.86696,ATWELL COLLEGE,0.3022490898173856,129.0,8.0,14598.324700069155,700941.9873096447,-220941.9873096447
85,33 Hillway,Nedlands,2250000,4,3,2.0,910,299,1938.0,6100,Shen,3400,2018-01-01,6009,-31.98988,115.81185,CHRIST CHURCH GRAMMAR SCHOOL,3.3255487468114846,3.0,13.0,2887.0804283588413,700941.9873096447,1549058.0126903553
86,6 Redunca Close,Helena Valley,522000,4,2,2.0,605,248,1996.0,16600,Midland Station,4000,2018-01-01,6056,-31.91718,116.03016,YOUTH FUTURES COMMUNITY SCHOOL,3.5482224002838345,200.0,6.0,3226.463791295359,700941.9873096447,-178941.9873096447
87,34 Martingale Avenue,Henley Brook,430000,3,2,2.0,370,211,2004.0,20100,East Guildford Station,10700,2018-01-01,6055,-31.80023,115.9745,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.224909800464334,53.0,2.0,10833.09235628684,700941.9873096447,-270941.9873096447
88,1 Hulbert Street,South Fremantle,1200000,4,2,3.0,455,103,1965.0,16800,Fremantle Station,2700,2018-01-01,6162,-32.07436,115.75525,FREMANTLE COLLEGE,1.3979942512101655,128.0,11.0,2509.700332014607,700941.9873096447,499058.0126903553
89,94 Terrace Road,Guildford,1020000,4,3,2.0,457,223,1935.0,12700,East Guildford Station,460,2018-01-01,6055,-31.89596,115.97523,GUILDFORD GRAMMAR SCHOOL,0.6645355115788649,52.0,8.0,502.7023470167049,700941.9873096447,319058.0126903553
90,29B Sergeant Road,Melville,1020000,4,3,2.0,463,315,2010.0,11900,Bull Creek Station,5100,2018-01-01,6156,-32.04640046,115.7998027,MELVILLE SENIOR HIGH SCHOOL,0.533588073674572,61.0,20.0,4255.92908501694,700941.9873096447,319058.0126903553
91,3 Alola Street,Kelmscott,335000,3,1,2.0,833,136,1974.0,23800,Kelmscott Station,1300,2018-01-01,6111,-32.11214,116.02676,KELMSCOTT SENIOR HIGH SCHOOL,1.807726343621462,113.0,8.0,22204.46125905714,700941.9873096447,-365941.9873096447
92,15 Kingston Heath Mews,Jandakot,925000,5,3,2.0,755,334,1996.0,16200,Cockburn Central Station,3100,2018-01-01,6164,-32.09735,115.85322,LAKELAND SENIOR HIGH SCHOOL,1.4727576882329363,141.0,0.0,10542.417626480246,700941.9873096447,224058.0126903553
93,11 Beacon Way,Singleton,419000,4,2,2.0,600,226,2006.0,54500,Mandurah Station,10400,2018-01-01,6175,-32.43458359,115.7595123,COMET BAY COLLEGE,2.1142240849107683,35.0,7.0,17550.47664468242,700941.9873096447,-281941.9873096447
94,5 CALABAR COURT,Merriwa,365000,4,2,2.0,657,142,2012.0,34700,Butler Station,3700,2018-01-01,6030,-31.66738,115.71052,ALKIMOS BAPTIST COLLEGE,0.7850377948783717,200.0,16.0,16120.8971331801,700941.9873096447,-335941.9873096447
95,26 Webster Street,Nedlands,1300000,4,2,1.0,675,174,1974.0,5900,Shen,2400,2018-01-01,6009,-31.98138,115.80669,SHENTON COLLEGE,2.43637780452327,14.0,19.0,1832.938490481336,700941.9873096447,599058.0126903553
96,26 Watson Road,Beeliar,520000,4,2,2.0,646,200,1997.0,20900,Cockburn Central Station,6200,2018-01-01,6164,-32.13134,115.79304,DIVINE MERCY COLLEGE,3.1156715674777447,200.0,22.0,9540.474139800568,700941.9873096447,-180941.9873096447
97,6 Nita Place,Riverton,690000,4,2,2.0,822,222,2006.0,9900,Bull Creek Station,3200,2018-01-01,6148,-32.0383712,115.885996,ROSSMOYNE SENIOR HIGH SCHOOL,1.700860895167256,16.0,7.0,9132.158137015022,700941.9873096447,-10941.987309644697
98,6A Oakleigh Pass,Harrisdale,520000,3,2,2.0,350,156,2011.0,19200,Cockburn Central Station,6000,2018-01-01,6112,-32.11680055,115.921059,CAREY BAPTIST COLLEGE,1.4823991502830047,62.0,6.0,17225.865767214862,700941.9873096447,-180941.9873096447
99,5 Korara Close,Ocean Reef,670000,4,2,2.0,807,196,,26000,Joondalup Station,3200,2018-01-01,6027,-31.744,115.73353,PRENDIVILLE CATHOLIC COLLEGE,1.323247511261266,60.0,11.0,7535.27187482419,700941.9873096447,-30941.987309644697
100,271 Station Street,East Cannington,578000,4,2,2.0,742,219,2003.0,11700,Beckenham Station,2600,2018-01-01,6107,-32.00241681,115.9682602,ST NORBERT COLLEGE,2.642055885288042,42.0,12.0,9828.24625290068,700941.9873096447,-122941.9873096447
101,64 Eric Street,Cottesloe,1708500,4,2,2.0,579,163,1937.0,10100,Grant Street Station,484,2018-01-01,6011,-31.98931708,115.7607508,PRESBYTERIAN LADIES COLLEGE,0.6162422710220785,11.0,4.0,4594.822871977275,700941.9873096447,1007558.0126903553
